department, state
Montgomery Police, Alabama
Chino Valley Police, Arizona
El Mirage Police, Arizona
Glendale Police, Arizona
Prescott Police, Arizona
Yavapai County Sheriff, Arizona
Texarkana AR Police, Arkansas
Loveland Police, Colorado
Darien Police, Connecticut
New Britain Police, Connecticut
Stamford Police, Connecticut
Delaware State Police, Delaware
Dover Police, Delaware 
Milford Police, Delaware
New Castle County Police, Delaware
Newark Police, Delaware
Smyrna Police, Delaware
University of Delaware Police, Delaware
Wilmington Police, Delaware
Bay County Sheriff, Florida
Broward County Sheriff, Florida
Charlotte County Sheriff, Florida
Coconut Creek Police, Florida
Coral Gables Police, Florida
Daytona Beach Police, Florida
DeLand Police, Police
Doral Police, Police
Edgewater Police, Florida
Fort Myers Police, Florida
Hernando County Sheriff, Florida
Holly Hill Police, Florida
Hollywood Police, Florida
Indian River County Sheriff, Florida
Jacksonville Sheriff, Florida
Leon County Sheriff, Florida
Manatee County Sheriff, Florida
Marianna Police, Florida
Miami Police, Florida
Miami-Dade Police, Florida
New Smyrna Beach Police, Florida
Ocala Police, Florida
Orange City Police, Florida
Ormond Beach Police, Florida
Palm Beach County Sheriff, Florida
Panama City Beach Police, Florida
Pinecrest Police, Florida
Port Orange Police, Florida
Sarasota County Sheriff, Florida
Sarasota Police, Florida
South Daytona Police, Florida
Volusia County Beach Patrol, Florida
Volusia County Sheriff, Florida
Butts County Sheriff, Georgia
Clarkston Police, Georgia
Conyers Police, Georgia
DeKalb County Police, Georgia
Doraville Police, Georgia
Gwinnett County Police, Georgia
Rome Police, Georgia
Honolulu Police, Hawaii
Bonneville County Sheriff, Idaho
Idaho Falls Police, Idaho
Bartonville Police, Illinois
Broadview Police, Illinois
Champaign Police, Illinois
Peoria County Sheriff, Illinois
Peoria Police, Illinois
Rockford Police, Illinois
Wheeling Police, Illinois
Winnebago County Sheriff, Illinois
Charlestown Police, Indiana
Altoona Police, Iowa
Carter Lake Police, Iowa
Clive Police, Iowa
Council Bluffs Police, Iowa
Des Moines Police, Iowa
Norwalk Police, Iowa
Pottawattamie County Sheriff, Iowa
Urbandale Police, Iowa
Waukee Police, Iowa
West Des Moines Police, Iowa
Windsor Heights Police, Iowa
Linn County Sheriff, Kansas
Louisville Metro Police, Kentucky
St. Matthews Police, Kentucky
University of Louisville Police, Kentucky
Broussard Police, Louisiana
Carencro Police, Louisiana
Duson Police, Louisiana
Houma Police, Louisiana
Iberia Parish Sheriff, Louisiana
Lafayette Parish Sheriff, Louisiana
Lafayette Police, Louisiana
New Orleans Police, Louisiana
Scott Police, Louisiana
St. Charles Parish Sheriff, Louisiana
St. James Parish Sheriff, Louisiana
St. John Parish Sheriff, Louisiana
Terrebonne Parish Sheriff, Louisiana
Youngsville Police, Louisiana
Presque Isle Police, Maine
Framingham Police, Massachusetts
Haverhill Police , Massachusetts
Lowell Police , Massachusetts
Whitman Police , Massachusetts
Addison Township (Oakland Sheriff), Michigan
Adrian Police
Ann Arbor Police, Michigan
Bay City Police, Michigan
Big Rapids Dept. of Public Safety, Michigan
Bloomfield Twp. Police, Michigan
Brandon Township (Oakland Sheriff), Michigan
Canton Police, Michigan
Chelsea Police, Michigan
Commerce Township (Oakland Sheriff), Michigan
Dearborn Heights Police, Michigan
Dearborn Police, Michigan
East Lansing Police, Michigan
